ID,population,FCA032,FCA075,FCA096,FCA100,FCA124,FCA126,FCA132,FCA208,FCA212,FCA225,FCA229,FCA275
MXJAG01,1,196,115,191,116,123,152,171,309,106,237,170,133
MXJAG01,1,196,115,193,116,123,156,175,311,106,237,170,133
MXJAG02,1,192,111,181,116,123,152,171,305,104,237,162,123
MXJAG02,1,192,127,181,116,125,156,175,305,104,241,168,129
MXJAG03,1,196,111,181,116,125,152,171,305,104,237,162,123
MXJAG03,1,198,125,181,116,127,156,171,305,104,241,162,133
MXJAG04,1,192,111,191,116,123,156,171,311,104,231,166,123
MXJAG04,1,198,115,193,116,123,156,175,315,106,237,168,133
MXJAG05,1,-9,115,-9,116,123,156,171,-9,104,-9,168,133
MXJAG05,1,-9,125,-9,116,127,156,171,-9,104,-9,168,133
MXJAG06,1,192,115,193,108,123,156,-9,-9,-9,-9,168,123
MXJAG06,1,196,127,197,114,127,156,-9,-9,-9,-9,168,133
MXJAG07,1,196,125,181,116,125,156,-9,305,104,229,-9,133
MXJAG07,1,196,125,193,116,127,156,-9,311,104,233,-9,133
GTAJAG01,1,196,123,197,106,125,154,171,305,104,237,168,123
GTAJAG01,1,200,127,197,112,125,156,171,315,106,237,168,133
GTAJAG02,1,194,117,191,106,123,154,171,315,104,227,168,123
GTAJAG02,1,200,123,197,108,125,156,171,319,106,237,168,129
GTAJAG03,1,192,123,191,112,123,154,171,299,104,227,162,123
GTAJAG03,1,200,127,197,112,125,156,171,301,106,227,168,129
GTAJAG04,1,198,117,195,108,123,156,171,305,104,227,162,123
GTAJAG04,1,200,127,197,112,125,156,171,315,106,237,168,133
GTAJAG05,1,192,115,191,108,-9,-9,171,315,106,227,-9,123
GTAJAG05,1,198,127,197,114,-9,-9,171,315,106,237,-9,129
GTAJAG06,1,200,117,197,106,-9,154,171,301,106,227,166,133
GTAJAG06,1,200,127,197,108,-9,156,171,305,106,227,168,133
GTAJAG07,1,198,125,181,108,125,156,171,315,106,237,162,123
GTAJAG07,1,200,125,191,108,127,156,173,315,106,241,168,133
GTAJAG08,1,192,115,191,108,127,154,171,305,104,-9,164,123
GTAJAG08,1,200,123,191,112,129,156,171,305,106,-9,168,133
GTAJAG09,1,196,123,175,108,123,156,171,305,104,237,162,129
GTAJAG09,1,200,123,191,112,127,156,171,305,106,237,168,133
GTAJAG10,1,198,111,197,108,121,156,171,305,104,237,162,133
GTAJAG10,1,200,111,197,112,123,160,171,305,106,237,168,133
GTAJAG11,1,196,123,193,108,125,154,171,305,104,237,162,129
GTAJAG11,1,198,127,197,112,125,156,173,315,104,237,170,133
GTAJAG12,1,196,117,-9,108,-9,156,171,-9,104,-9,-9,-9
GTAJAG12,1,196,123,-9,112,-9,156,173,-9,106,-9,-9,-9
GTAJAG13,1,198,115,181,106,123,156,171,305,104,227,166,133
GTAJAG13,1,200,125,191,108,127,160,171,315,106,241,170,133
GTAJAG14,1,196,111,181,112,123,156,171,313,106,227,160,123
GTAJAG14,1,198,127,197,112,125,160,171,315,106,237,162,123
GTAJAG15,1,-9,103,191,-9,123,156,-9,-9,106,-9,166,123
GTAJAG15,1,-9,111,197,-9,125,156,-9,-9,106,-9,166,133
BZJ01,1,198,123,191,106,127,156,171,305,104,231,166,123
BZJ01,1,198,123,193,106,127,160,171,305,106,237,170,123
BZJ02,1,200,117,191,108,125,150,171,301,106,227,162,123
BZJ02,1,200,117,191,108,127,156,171,319,106,227,168,129
BZJ03,1,198,115,191,112,123,152,171,301,104,237,162,123
BZJ03,1,200,121,197,112,127,156,171,315,106,241,168,123
BZJ04,1,198,117,191,108,123,160,171,305,104,237,162,123
BZJ04,1,198,125,191,110,123,160,173,319,106,237,168,133
BZJ05,1,198,127,191,108,127,154,171,305,106,237,162,133
BZJ05,1,198,127,197,108,127,156,173,319,106,237,166,133
BZJ06,1,200,115,191,108,125,150,171,301,106,237,168,129
BZJ06,1,200,115,197,112,125,154,171,305,106,237,168,129
BZJ07,1,198,115,191,108,125,156,171,305,104,241,168,123
BZJ07,1,198,121,197,112,125,156,171,319,104,241,168,123
BZJ08,1,196,123,-9,108,123,150,171,-9,106,-9,166,129
BZJ08,1,196,123,-9,112,127,156,171,-9,106,-9,170,129
BZJ09,1,192,115,181,108,125,152,171,309,104,227,162,123
BZJ09,1,198,115,185,108,127,156,171,315,104,237,170,129
BZJ10,1,198,115,191,108,125,150,171,301,106,237,166,123
BZJ10,1,200,121,191,108,125,156,171,313,106,237,168,133
BZJ11,1,200,121,193,112,127,152,171,301,104,231,168,133
BZJ11,1,200,123,197,112,127,156,171,305,106,237,170,133
BZJ12,1,192,113,181,108,125,156,171,301,104,237,162,123
BZJ12,1,200,117,191,112,125,156,171,319,106,241,168,133
BZJ13,1,200,115,191,108,125,150,171,305,106,237,162,123
BZJ13,1,200,123,193,108,125,156,171,309,106,237,168,133
